material_id,formula,spacegroup,diel_total_exp,diel_total_us,diel_total_petousis,diel_total_mp,n_sites,n_elems
mp-3448,KMgF3,221,6.9758,7.75,6.88,6.928200843333332,5,3
mp-827,KN3,140,6.8542,7.36,6.21,6.207699163391548,8,2
mp-22895,CuI,7,6.5,8.48,7.81,7.684355551622969,8,2
mp-984,BN,194,6.3936,4.67,4.68,4.67887232666832,4,2
mp-7848,AlPO4,82,6.0534,3.72,3.78,3.777271239997473,6,3
mp-682,NaF,225,6.0,4.96,5.47,5.4609305733332825,2,2
mp-22862,NaCl,225,5.9,5.38,6.28,6.530281849999998,2,2
mp-23193,KCl,225,5.9,5.13,5.64,4.737784829933891,2,2
mp-2964,NaNO2,44,5.88,4.97,5.3033,,8,3
mp-28027,AsF3,33,5.7034,3.36,5.24,5.236080926666666,16,2
mp-22898,KI,225,5.6,5.71,5.86,5.0310346065871805,2,2
mp-66,C,227,5.5,5.85,5.83,5.829713979999983,2,1
mp-463,KF,225,5.46,6.2,6.37,5.251731170056304,2,2
mp-559798,NiF2,136,5.2039,4.98,5.2,5.203943079999999,6,2
mp-1249,MgF2,136,5.1967,5.19,3.2733,5.10341745,6,2
mp-22903,RbI,225,4.9434,4.23,5.69,5.688231480184915,2,2
mp-23295,RbCl,225,4.9134,4.55,5.65,5.651929926679216,2,2
mp-22867,RbBr,225,4.9034,3.64,5.69,5.69166782333386,2,2
mp-23251,KBr,225,4.9,3.71,5.63,4.828897389994893,2,2
mp-3955,AlPO4,154,4.6567,,4.5667,4.789992210000507,18,3
mp-632326,HCl,36,4.0055,2.39,2.77,2.7427368133333334,4,2
mp-27529,PI3,173,3.665,7.71,4.11,4.109270433332015,8,2
