material_id,formula,spacegroup,eps_total_petousis,eps_elec_petousis,n_petousis,eps_total_exp,diel_ref,n_exp,n_ref,polycrystalline,n_sites,n_elems,bandgap_mp,eps_electronic_mp,eps_total_mp,n_mp,diel_elec_mp,diel_total_mp,diel_total_petousis,diel_elec_petousis,diel_total_exp,series,doi,wyckoff
mp-981,SrF2,"['Fm-3m', 225]",7.59,2.21,1.49,7.69,[2],1.44,[2],False,3,2,6.7761,"[[2.2170, -7.4331e-07, -3.2662e-07], [-7.4331e-07, 2.2170, 1.4903e-07], [-3.2662e-07, 1.4903e-07, 2.2170]]","[[7.5432, -2.5290e-06, -1.1113e-06], [-2.5290e-06, 7.5432, 5.0708e-07], [-1.1113e-06, 5.0708e-07, 7.5432]]",1.489,2.217,7.5433,7.59,2.21,7.69,Petousis 2017,10.1038/sdata.2016.134,A2B_cF12_225_c_a:F-Sr
mp-682,NaF,"['Fm-3m', 225]",5.47,1.87,1.37,6.00,[2],1.32,[19],False,2,2,6.0951,"[[1.8669, -2.2779e-07, 2.2779e-07], [-2.2779e-07, 1.8669, 5.3165e-07], [2.2779e-07, 5.3165e-07, 1.8669]]","[[5.4609, -6.6631e-07, 6.6631e-07], [-6.6631e-07, 5.4609, 1.5550e-06], [6.6631e-07, 1.5550e-06, 5.4609]]",1.3664,1.867,5.4609,5.47,1.87,6.0,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:F-Na
mp-4820,ZrSiO4,"['I4_1/amd', 141]","12.46,13.37","4.13,4.25",2.05,"10.69,11.25",[27],1.9,[36],False,12,3,4.4579,"[[4.3773, 6.1102e-08, 2.6724e-07], [6.1102e-08, 4.1249, -2.0265e-07], [2.6724e-07, -2.0265e-07, 4.1249]]","[[12.4069, 1.9675e-07, 8.6056e-07], [1.9675e-07, 13.2824, -6.5257e-07], [8.6056e-07, -6.5257e-07, 13.2824]]",2.0516,4.2091,12.9906,12.7633,4.17,10.8767,Petousis 2017,10.1038/sdata.2016.134,A4BC_tI24_141_h_a_b:O-Si-Zr
mp-2964,NaNO2,"['Imm2', 44]","3.95,4.97,6.99","1.82,2.12,2.72",1.49,"4.59,5.35,7.70",[2],1.52,[37],False,4,3,2.4755,"[[2.7146, 0.0, 0.0], [0.0, 2.1123, 0.0], [0.0, 0.0, 1.8160]]","[[7.0106, 0.0, 0.0], [0.0, 3.9806, 0.0], [0.0, 0.0, 4.9752]]",1.4881,2.2144,5.3222,5.3033,2.22,5.88,Petousis 2017,10.1038/sdata.2016.134,ABC2_mI8_44_a_a_c:N-Na-O
mp-804,GaN,"['P6_3mc', 186]","10.46,11.63","5.90,6.07",2.44,"9.50,10.40",[38],2.41,[39],False,4,2,1.7376,"[[5.8838, 8.1784e-17, 0.0], [8.1784e-17, 5.8838, 0.0], [0.0, 0.0, 6.0709]]","[[10.4634, 1.4544e-16, -5.6468e-22], [1.4544e-16, 10.4634, 2.8234e-22], [-5.6468e-22, 2.8234e-22, 11.6536]]",2.4385,5.9462,10.8602,10.85,5.9567,9.8,Petousis 2017,10.1038/sdata.2016.134,AB_hP4_186_b_b:Ga-N
mp-23193,KCl,"['Fm-3m', 225]",5.64,2.28,1.51,5.90 ,[3],1.49,[19],True,2,2,5.0448,"[[2.2807, -5.5789e-07, 5.3076e-08], [-5.5789e-07, 2.2807, 1.8999e-07], [5.3076e-08, 1.8999e-07, 2.2807]]","[[5.5774, -1.3642e-06, 1.2979e-07], [-1.3642e-06, 5.5774, 4.6461e-07], [1.2979e-07, 4.6461e-07, 5.5774]]",1.5102,2.2808,5.5775,5.64,2.28,5.9,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Cl-K
mp-149,Si,"['Fd-3m', 227]",13.07,13.07,3.62,11.50,[2],3.42,[2],False,2,1,0.8527,"[[13.0033, 0.0, 0.0], [0.0, 13.0033, 0.0], [0.0, 0.0, 13.0033]]","[[13.0033, 0.0, 0.0], [0.0, 13.0033, 0.0], [0.0, 0.0, 13.0033]]",3.606,13.0034,13.0034,13.07,13.07,11.5,Petousis 2017,10.1038/sdata.2016.134,A_cF8_227_a:Si
mp-1029,BaF2,"['Fm-3m', 225]",8.31,2.32,1.52,7.33,[2],1.47,[2],False,3,2,6.6235,"[[2.3178, 3.0240e-07, -2.1954e-07], [3.0240e-07, 2.3178, -2.7365e-07], [-2.1954e-07, -2.7365e-07, 2.3178]]","[[8.3361, 1.0876e-06, -7.8961e-07], [1.0876e-06, 8.3361, -9.8420e-07], [-7.8961e-07, -9.8420e-07, 8.3361]]",1.5224,2.3178,8.3362,8.31,2.32,7.33,Petousis 2017,10.1038/sdata.2016.134,AB2_cF12_225_a_c:Ba-F
mp-4515,Ag3SbS3,"['R3c', 161]","10.01,19.61","7.67,8.92",2.92,"21.70,24.70",[2],2.77,[40],False,14,3,1.3701,,,,,,13.21,8.0867,22.7,Petousis 2017,10.1038/sdata.2016.134,A3B3C_hR42_161_b_b_a:Ag-S-Sb
mp-2242,GeS,"['Pnma', 62]","18.02,18.41,22.34","11.08,11.38,11.75",3.38,"25.10,29.50,30.00",[1],3.89,[1],False,8,2,1.237,"[[10.8442, 0.0, 0.0], [0.0, 10.6045, 0.0], [0.0, 0.0, 11.5106]]","[[17.9692, 0.0, 0.0], [0.0, 16.3338, 0.0], [0.0, 0.0, 22.0142]]",3.3146,10.9865,18.7724,19.59,11.4033,28.2,Petousis 2017,10.1038/sdata.2016.134,AB_mP8_62_c_c:Ge-S
