icsd_id,bandgap_gga,bandgap_hse
202055,0.086185,0.856
43741,0.107505,0.818282
173984,0,1.121675
202543,0,0.71624
69095,0.087616,0.846208
59193,0.398582,1.776609
26557,0,0.107254
28920,0,-0.054436
10425,5.852244,7.731107
151590,5.337444,7.164394
173014,4.781655,6.710443
247304,4.832755,6.677213
291495,0,0.715098
82504,4.462302,6.283692
100434,3.933832,5.14204
16850,4.053629,5.293749
4108,3.565882,4.797634
10436,3.51525,5.106115
10015,1.342631,3.073161
987,1.432591,3.143587
8014,0.889209,2.330739
16021,6.275606,8.271057
34685,8.334105,10.348116
51575,6.562169,8.572686
82879,1.8763,2.796231
15301,2.897364,4.216795
173921,2.362502,3.668389
26961,2.045991,3.353773
180397,2.239859,3.818634
180398,2.255537,3.821415
15620,7.418398,9.309576
163820,6.845149,8.61662
163824,6.846244,8.617914
163825,8.167959,10.114658
18147,7.063481,8.884406
26957,8.17168,10.121819
15072,2.102979,3.079337
169685,1.487868,2.407212
169686,2.314097,3.27232
186365,1.123388,1.963719
189995,1.050976,1.932232
261777,2.335641,3.275747
27151,0.465141,1.250476
422451,1.456794,2.283464
79500,0.959377,1.818855
51778,0.89937,1.769728
50198,1.296958,2.509437
78369,1.851882,3.276454
26962,5.966051,8.028059
40937,5.924236,8.001821
110775,6.410306,8.137184
110776,6.406348,8.129306
16428,6.707305,8.469341
166852,6.468162,8.198204
188892,6.724915,9.022588
188893,6.452196,8.177132
188894,6.447495,8.17671
236929,6.424553,8.144529
411461,3.709812,4.893145
161831,3.114894,4.494041
163628,3.642091,5.316624
20275,2.730633,4.92134
161837,0,1.093687
181294,0,0.763775
109339,1.388117,3.17407
184584,2.145195,3.356874
180778,1.004588,1.626686
407768,0.975196,2.767403
63680,3.666981,5.5172
29082,0.999608,2.184023
43458,1.031258,2.173429
89837,0,0.025574
9362,0.262816,2.830857
186838,0,0.759888
109366,2.267616,3.47649
202619,2.747022,4.172056
33847,0,0.042338
25529,1.685122,3.179453
25719,0,0.859571
69758,0,1.944538
167446,0.647621,1.96662
190597,0.636846,1.954995
100566,0.396045,2.142684
108905,1.004526,2.283818
154191,2.172658,3.374736
173025,0.311664,2.399116
189439,1.444981,2.399709
96077,1.885692,2.831893
157689,0,1.300365
35001,0.512489,1.185824
35003,0.517072,1.156775
92356,0,1.208446
184327,1.807134,3.537548
27431,2.350805,4.011889
158589,0.987565,2.806486
158598,1.004673,2.821955
200730,2.934659,4.776143
23783,3.003622,4.818552
281600,1.317583,3.033993
281601,0.627923,2.132839
66596,2.977199,4.828782
15907,5.427026,7.275985
16817,1.304436,3.185315
16950,0,0.138046
27837,5.507689,7.310218
27877,0,0.019133
31683,5.194564,6.815051
30602,0,0.024009
24073,0,0.0608
172165,3.955852,5.474617
173965,4.176756,5.759673
173966,4.573432,6.117977
173967,3.770347,5.236878
173968,3.338173,4.813548
14124,1.17637,2.376175
24062,1.297918,2.473962
32561,1.18701,2.386432
639125,1.277391,2.448756
24774,0.267742,1.753653
48214,0.073869,1.487131
63651,1.535112,2.622872
27516,2.558849,3.663802
78903,1.794837,3.098903
14387,0.88434,2.259514
16086,1.036506,2.499135
162251,0.155279,1.236996
33649,0.88817,2.2649
426846,0.791114,2.182356
251567,0,0.436824
38138,0,0.954582
202496,0,0.511828
44674,1.657981,2.877184
180559,2.236264,3.818956
25527,2.319813,3.89854
100204,3.751277,5.247587
26864,2.54223,3.108751
641600,3.201735,4.668656
96196,3.829653,5.38132
108886,4.965535,6.60542
173180,5.001335,6.604799
24143,1.615225,3.753813
25530,1.992605,4.204641
50658,2.331143,4.336207
101007,4.493835,6.20401
157528,4.537507,6.279011
161842,3.389786,5.00278
162607,3.284454,4.907628
166273,3.038736,4.627602
181461,3.566536,5.200547
41732,3.739039,6.088811
262928,0,0.569128
9864,1.74853,2.851659
171866,1.250061,2.570183
193445,1.395717,3.088441
20229,0,0.140545
643198,1.056457,2.303584
16956,0.434736,1.427129
151750,1.756304,2.932755
202324,1.14722,2.16666
80577,1.749448,2.926854
66362,0,0.689735
201140,2.79669,4.394878
28331,2.678185,4.298106
30638,0.518384,2.512686
411168,0.533755,2.802337
60435,2.016242,3.391681
109276,1.741918,3.771928
180558,1.841343,3.920646
35181,0.222155,1.202988
16802,2.416789,3.784617
25765,2.225261,3.611148
51176,1.859538,3.12934
166115,3.433112,4.454755
43740,3.430363,4.533037
78698,1.495711,2.798005
88720,1.459048,2.755727
16610,5.548347,7.473315
35121,0,0.311223
196,0.45861,1.170159
18180,2.417204,4.149874
162441,5.752512,7.549531
35122,0,0.016135
62117,1.139369,2.031584
31399,0,0.449805
15402,0.221138,0.373318
15466,1.413958,2.169148
36250,1.767042,2.697417
24692,0,0.82209
164290,0,1.149829
180572,1.24149,2.376687
77676,1.279887,2.448506
15998,2.41559,3.440001
15516,0.114246,0.522754
20624,1.170866,1.89238
105548,3.280869,4.770824
16220,0.4721,1.158718
77699,0.547225,1.289156
28681,1.733202,2.598508
154486,1.896108,2.657034
163382,0,1.206902
163383,1.750255,2.481653
166357,2.221324,2.991865
166358,2.221629,2.996409
166359,2.219141,2.994276
182360,0,1.205692
190802,2.221503,2.995925
647683,1.750509,2.481709
647241,0.218449,0.6483
23292,0.025645,0.627156
647283,0,0.728365
164289,1.493355,2.956231
202407,0.634319,1.940571
24923,1.543644,3.010413
251568,0,1.114146
647316,0,1.17704
180560,1.850939,3.421019
25528,1.714362,3.271504
251565,0,0.164927
290498,0.723568,2.355914
24645,1.764576,3.042526
647389,1.859634,2.897841
24022,3.256344,4.658688
412234,3.139914,4.501738
99464,3.419428,4.798761
99465,3.407083,4.796394
100341,5.758355,7.630173
100749,5.623904,7.586683
10078,5.021871,7.112411
151108,5.734726,7.606742
15321,5.602482,7.416533
153453,2.364313,3.420308
153886,5.569689,7.393358
154321,5.560466,7.351537
155241,5.678416,7.530973
155247,5.689752,7.544496
155248,5.673918,7.523832
155249,5.695446,7.553812
155250,5.693497,7.548794
155251,5.754741,7.623206
155252,0.813292,2.089718
158958,4.011242,5.964699
161310,5.261584,7.294825
162660,6.1807,8.052941
180904,5.513161,7.318527
183701,5.717987,7.467871
200478,5.374569,7.128796
201352,5.681636,7.538321
201689,5.715637,7.510421
24587,5.663982,7.497606
25632,4.765365,6.647183
29343,5.484292,7.264801
34889,5.641307,7.461337
35536,5.365924,7.106375
413210,5.522399,7.317356
52371,5.579278,7.399773
62581,5.447082,7.185471
86547,5.728024,7.499
89284,5.541038,7.373361
93975,5.542438,7.374638
154960,0.629998,2.285662
56675,0.61766,2.247895
56677,0.572525,2.011987
62199,0.845004,2.452821
24249,2.870267,4.77055
161691,2.811914,3.935911
26844,2.013794,3.065087
34423,2.80557,3.915672
56004,0,0.642214
62897,2.840311,3.991113
90733,2.961029,4.140983
109469,1.666895,3.02186
15328,2.307759,3.64088
154035,2.026449,3.396366
15409,2.082201,3.429925
154601,1.895032,3.278111
171670,2.51403,3.915086
657748,1.493856,3.069426
75179,2.321888,3.707684
97008,2.368861,3.947669
1501,1.665192,2.817488
1503,0.897817,1.976376
1504,0.773545,1.510221
199,0.377,1.111761
34416,0.776968,1.473815
34419,0.987101,1.825952
51214,0.725922,1.751987
74774,0.503305,1.374001
60763,2.76964,4.365551
105553,3.309237,4.932145
157403,3.600831,5.171846
157617,3.71837,5.251351
173960,3.704108,5.325113
173963,2.936037,4.432727
67004,3.837613,5.459707
23760,0.98513,1.80607
655224,0.979135,1.903206
47164,0,2.30275
647340,0,1.297983
108941,0.731209,2.475386
181829,1.604243,2.444185
181830,1.605688,2.461478
181831,0.365387,1.942342
21045,1.604494,2.460058
9206,0.722328,2.387627
18185,5.135305,7.106261
24723,5.15071,7.090854
105547,2.209591,3.119611
16851,3.162863,4.199028
414463,2.276246,3.2395
160203,3.395551,5.118562
160218,3.492737,5.186418
33646,3.858081,5.72004
647397,3.831509,5.635238
27019,1.153393,2.344779
187466,0.136365,0.788274
647550,0,0.099596
27988,0,1.408947
23478,0.575768,1.165648
1473,1.185341,2.099823
260212,0,1.994282
108651,0.464942,1.420132
14332,1.287047,2.371259
1620,1.389343,2.470353
27961,0.532543,1.441686
31823,1.213575,2.275673
32001,0.5034,1.463176
36168,1.285182,2.372681
50728,1.231168,2.309717
50732,0.719938,1.75345
654048,1.147886,2.223154
84139,1.509573,2.611849
84848,1.542477,2.646793
86144,1.144828,2.217322
26627,1.346198,2.837975
192863,3.950306,5.538678
33648,4.118753,5.607923
87566,5.732728,7.503491
