material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-168,Ca5Ta2,0.5841,0.0295
scn-169,Sr3Zr2Sc7,0.2881,0.0257
scn-170,Al6CoPb2W,0.1416,0.0351
scn-171,Sr4Sc15Ti3Nb2,0.2505,0.0224
scn-172,Mo(ClO2)2,-0.9478,0.1197
scn-173,PbW,1.0848,0.0823
scn-174,SnPF4,-2.362,0.0426
scn-175,Hf6Tl3Cr,0.1097,0.0159
scn-176,Ba5Ir4O15,-2.0824,0.0415
scn-177,Nb3PO8,-2.7516,0.0446
scn-178,K2Mg3Zr,0.421,0.0749
scn-179,Ta2Al9Te2,0.0145,0.0272
scn-180,CaAgBiCl2,-1.3108,0.0162
scn-181,Ca4Mg9Ta2,0.2129,0.0268
scn-182,CaAlIrO5,-2.3606,0.0361
scn-183,Mg8ZrSi2,-0.0568,0.0142
scn-184,Mg8TaTlV2,0.3001,0.0443
scn-185,Ca16Ti(Bi3P)2,-0.713,0.017
scn-186,SrLi2Mg7Nb2,0.2497,0.028
scn-187,Ca4Mg9Ta2,0.2147,0.0232
scn-188,Ca3Mg12Nb4F2,-0.0996,0.0404
scn-189,SrHfMg3,0.1717,0.0131
scn-190,K6NaNbW,0.8046,0.0336
scn-191,Ca2TaInGe6,-0.1146,0.116
scn-192,Li4Ti11Pb24,0.0152,0.0263
scn-193,BaTa4W11,0.2572,0.1314
scn-194,Mg5Sn3I,-0.2194,0.0162
scn-195,Ca2Mg6ScTa,0.1766,0.0148
scn-196,Sr5Ta4Al15,-0.1383,0.0147
scn-197,Sc4TaSb,-0.3406,0.0178
scn-198,Mg10TiV2Cr,0.2844,0.0398
scn-199,Ca5TiNbTl,0.1543,0.0166
scn-200,BaNO3,-1.4645,0.3551
scn-201,BaMg3Zr,0.1334,0.0124
scn-202,TiV3OF5,-2.554,0.0695
scn-203,TlRuF3,-1.6518,0.0525
scn-204,Sr3Ta2InO9,-3.2348,0.0281
scn-205,TaAsO3,-2.5246,0.0484
scn-206,Mg6Nb2Pb,0.1655,0.0337
scn-207,BaMg3Tl,-0.1728,0.0114
scn-208,Cs2Ba(WO4)3,-2.1827,0.0549
scn-209,Sr2NbIn7,-0.1007,0.0135
scn-210,CaMg3Zr,0.0885,0.012
scn-211,Mg11(TaMo)2,0.2902,0.03
scn-212,Na2SrTa2Bi7,0.0105,0.0215
scn-213,Rb3YMg6,0.3147,0.0254
scn-214,HfMoO3,-1.6913,0.1863
scn-215,Ba2Mg6TaAl,0.2301,0.0174
scn-216,NaMg3Nb,0.3578,0.0311
scn-217,Sr2TaAl6Ga,-0.0729,0.0188
scn-218,Mg4TaBi,0.1638,0.0219
scn-219,K3YSc6,0.4803,0.0395
scn-220,CaHfAl3,-0.2763,0.0097
scn-221,ZrP2O3,-2.17,0.0437
scn-222,K3TaO7,-1.6832,0.0893
scn-223,ScIr3F6,-1.6319,0.0734
scn-224,NaCaMg12Nb3Bi2,0.1946,0.033
scn-225,NaNbAl3,-0.0277,0.0268
scn-226,SrZrCu2F8,-3.1292,0.0302
scn-227,Sr2Ta2Fe7,0.4238,0.0412
scn-228,VSnCl3,-1.188,0.0355
scn-229,TiTl2(RhO3)6,-1.4031,0.1312
scn-230,Mg13Zr5Sc2,0.0032,0.0229
scn-231,Rb3ClF6,-2.2156,0.0477
scn-232,CaAlHgO5,-2.0567,0.0551
scn-233,CaMg11Ta4,0.3133,0.0285
scn-234,BaSr3Ti,0.3781,0.0258
scn-235,Mg5NbBi2F,-0.5299,0.0746
