material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0,diel_ionic_target
mp-1640232,Li7Mn4CoO12,8.6574,0.4315,0.0
mp-1025626,Te4Mo2WSe2,3.7049,0.6591,0.0
mp-752556,KCoO2,6.3607,0.1789,0.0
mp-1174365,Li7Co5O12,7.7655,0.2854,0.0
mp-966800,InP,4.1291,0.3246,0.0
mp-12046,Rb3Na(RuO4)2,4.4884,0.2077,0.0
mp-19111,NaV2O5,6.5835,0.442,0.0
mp-1213650,CsErMnSe3,6.9168,0.2447,0.0
mp-1103685,Rb(MoSe)3,4.5461,0.2689,0.0
mp-1201824,TbCrO5,7.0903,0.2451,0.0
mp-755653,LiFeF5,8.2015,1.0639,0.0
mp-1175910,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1197843,Ca5(SiO5)2,10.4466,0.4429,0.0
mp-30027,RbCrCl3,7.5005,0.6094,0.0
mp-1519089,KNdEuWO6,4.9023,0.3063,0.0
mp-1274148,CrBiO4,9.7958,1.031,0.0
mp-1176199,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-704992,RbCoO2,6.2708,0.3304,0.0
mp-1518032,BaCaInBiO6,16.1942,0.7171,0.0
mp-1224861,Ga2CuAgTe4,2.6568,0.1413,0.0
mp-755614,CoBiO4,6.2388,0.2362,0.0
mp-850288,V3(O2F)2,10.1862,0.6243,0.0
mp-775374,Li3MnV(PO4)3,5.238,0.8587,0.0
mp-1200763,CrCuPPb2O9,21.9064,1.1252,0.0
mp-644292,Eu2MgH6,10.9101,0.6194,0.0
mp-764415,MnFeCo(PO4)3,11.1252,0.7317,0.0
mp-676250,Bi2Te4Pb,101.4227,8.9256,0.0
mp-1101938,FeB2,14.669,0.3855,0.0
mvc-4220,Ca3Cu2(GeO4)3,6.973,0.2644,0.0
mp-12047,K3Na(RuO4)2,4.251,0.2387,0.0
mp-540204,Co2P3O10,6.6955,0.8501,0.0
mp-1029143,Te6Mo3WSe2,6.3746,0.8267,0.0
mp-1177562,Li3MnV(PO4)3,5.238,0.8587,0.0
mp-14889,K9Fe2S7,4.1994,0.1373,0.0
mp-989528,Rb2AlInH6,19.7967,2.0168,0.0
mp-776160,Cr2O5,3.076,0.2351,0.0
mp-1174020,Li3MnCoO5,8.5464,1.0429,0.0
mp-1174126,Li4MnCo3O8,7.6189,0.2429,0.0
