material_id,formula,diel_total_pred_n0,diel_total_ale_n0,diel_total_target
mp-644292,Eu2MgH6,19.08,0.6802,0.0
mp-764415,MnFeCo(PO4)3,10.4618,1.0785,0.0
mp-676250,Bi2Te4Pb,140.5907,119.9608,0.0
mp-1101938,FeB2,53.4589,5.25,0.0
mvc-4220,Ca3Cu2(GeO4)3,9.3012,0.3845,0.0
mp-12047,K3Na(RuO4)2,6.3985,1.4187,0.0
mp-540204,Co2P3O10,8.6189,0.727,0.0
mp-1029143,Te6Mo3WSe2,6.5108,0.7736,0.0
mp-1177562,Li3MnV(PO4)3,9.5571,1.0773,0.0
mp-14889,K9Fe2S7,10.4316,0.2403,0.0
mp-989528,Rb2AlInH6,30.2118,1.625,0.0
mp-776160,Cr2O5,8.3213,0.5288,0.0
mp-1174020,Li3MnCoO5,20.1016,2.0494,0.0
mp-1174126,Li4MnCo3O8,15.0571,0.4633,0.0
mp-541979,Bi9Rh2I3,44.6559,2.419,0.0
mp-1194301,Li3CuB3O7,8.3558,0.3659,0.0
mp-5367,K5SnSb3,14.8198,0.4383,0.0
mp-758715,Li2CuSiO4,8.8688,0.3332,0.0
mp-561113,Ag2BiO3,27.6298,1.034,0.0
mvc-14025,Zn2Co3O8,14.3412,0.4629,0.0
mp-1175749,Li9Mn2Co5O16,14.8369,0.5684,0.0
mp-573073,Cs7Cu6F19,9.3377,0.3334,0.0
mp-1112064,K2SbAuI6,20.9175,0.7463,0.0
mp-753796,Li6CrO6,14.2064,0.9388,0.0
mp-1222710,LiV5O10,15.9243,1.1089,0.0
mp-39239,SrLaMnRuO6,15.6947,0.8375,0.0
mp-1517875,BaSrCeWO6,18.6394,0.7022,0.0
mp-1113637,Rb2SbAuI6,17.8477,0.6987,0.0
mp-771053,Mn5Cr3O16,16.0213,1.4267,0.0
mp-755517,V6O7F5,14.1872,0.5527,0.0
mp-19793,YbFeO3,16.3761,0.8914,0.0
mp-753132,CaMn7O8,15.9417,0.5456,0.0
mp-764516,Li3Co2(SiO4)2,16.7171,1.9074,0.0
mp-9179,Ba3Zr2S7,28.7479,6.1892,0.0
mp-1190998,PrPS,20.4491,0.7752,0.0
mp-504699,Ba2UFeO6,29.9857,2.6104,0.0
mp-1174838,Li7Mn2(CoO4)3,16.8725,0.8586,0.0
mp-777640,LiV4OF11,8.9269,0.4307,0.0
mp-1197664,K3Li3P6O19,6.5801,0.5286,0.0
mp-9503,BaDyCuTe3,18.8472,0.2738,0.0
mp-1223921,K2VCo6Cu2As5O24,19.534,4.472,0.0
mp-555113,Rb3Cu2(BiS2)5,18.2294,0.6861,0.0
mp-756128,Li2Cr3CoO8,9.8241,0.7883,0.0
mvc-5760,BiO2,47.6093,4.2183,0.0
mp-6090,Na2Cu(CO3)2,8.1961,0.3642,0.0
mp-1192538,K(SnAs)3,31.4505,1.5022,0.0
mp-850462,Li4MnV3(P2O7)4,10.6817,1.7467,0.0
mp-772134,Li2Cr3Ni(SO4)6,9.637,0.8886,0.0
mp-1215797,Zn2Cu10Sb4S13,18.0804,0.7549,0.0
mp-1025781,Te4Mo2WSe2,5.8939,0.9382,0.0
mp-1190817,CsEuAsS3,13.3666,0.3751,0.0
mp-1029236,Te3MoWSe,6.2601,0.6338,0.0
mp-1228475,Ba5Mn(Co2O7)2,16.5678,0.7299,0.0
mp-1195767,Ca5P3O13,8.5514,0.3496,0.0
mp-1080771,NaCl7,6.6886,0.4295,0.0
mp-1184972,Li2InBi,73.2272,10.7386,0.0
mp-1196467,Rb2Cu3P4(O3F)4,7.8302,0.3717,0.0
mp-755014,Li5Ti2Ni3O10,31.1574,4.9567,0.0
mp-1013554,Sr3PN,64.5322,3.2679,0.0
mp-752921,LiMn4O8,15.2914,0.7929,0.0
mp-1667296,Li7Mn4CoO12,16.3856,0.7718,0.0
mp-1194762,Na2NdGeO5,9.9734,0.3663,0.0
mp-585241,LiBi2(PO4)3,44.1699,7.2614,0.0
mp-777835,Li6MnV3(PO4)6,12.3639,4.3449,0.0
mp-1214014,Cs2NaUBr6,8.2802,0.3021,0.0
mp-1194274,Na2Cr3O9,9.4988,0.7099,0.0
mp-1520136,BaNaCeWO6,16.9611,0.9753,0.0
mp-22375,In2S3,11.7558,0.5534,0.0
mp-1310718,Li4Mn3NbO8,18.7621,1.4575,0.0
mp-754260,V6O11F,14.8091,0.6455,0.0
mvc-3029,Mg2Co3O8,11.998,0.4738,0.0
