Bi2Zr2O7,,CsTaTeO6,
Wavelength (nm),%R,Wavelength (nm),%R
1631,92.44219971,1631,74.16500854
1630,92.43443298,1630,74.14154816
1629,92.45654297,1629,74.15426636
1628,92.42733765,1628,74.13510895
1627,92.44960022,1627,74.14022064
1626,92.45213318,1626,74.12666321
1625,92.45761871,1625,74.12828064
1624,92.47229004,1624,74.13386536
1623,92.46847534,1623,74.12749481
1622,92.44868469,1622,74.08849335
1621,92.45337677,1621,74.08820343
1620,92.46450043,1620,74.10162354
1619,92.43547821,1619,74.07933807
1618,92.46257782,1618,74.07758331
1617,92.44663239,1617,74.06685638
1616,92.43952942,1616,74.05534363
1615,92.44241333,1615,74.0434494
1614,92.42645264,1614,74.02669525
1613,92.41327667,1613,74.00563049
1612,92.43701172,1612,74.00791931
1611,92.4037323,1611,73.99738312
1610,92.40753174,1610,73.97556305
1609,92.4046936,1609,73.9699707
1608,92.39788818,1608,73.94698334
1607,92.38557434,1607,73.94038391
1606,92.38653564,1606,73.93862915
1605,92.39422607,1605,73.92871094
1604,92.35783386,1604,73.89579773
1603,92.36528015,1603,73.88359833
1602,92.36933899,1602,73.88257599
1601,92.36351776,1601,73.87827301
1600,92.38809967,1600,73.89033508
1599,92.35816956,1599,73.86383057
1598,92.34806061,1598,73.83707428
1597,92.36633301,1597,73.84010315
1596,92.33914948,1596,73.83496094
1595,92.3288269,1595,73.81002808
1594,92.35102081,1594,73.80476379
1593,92.36209106,1593,73.80909729
1592,92.35007477,1592,73.79320526
1591,92.34345245,1591,73.79232025
1590,92.34437561,1590,73.77980804
1589,92.34008026,1589,73.74021149
1588,92.33306885,1588,73.74417877
1587,92.33547974,1587,73.75320435
1586,92.34339905,1586,73.7411499
1585,92.34645081,1585,73.7191391
1584,92.34465027,1584,73.71702576
1583,92.33654785,1583,73.70383453
1582,92.34012604,1582,73.70462036
1581,92.31863403,1581,73.6727829
1580,92.31195831,1580,73.67479706
1579,92.32292938,1579,73.67201996
1578,92.32770538,1578,73.65617371
1577,92.34475708,1577,73.66221619
1576,92.32293701,1576,73.63289642
1575,92.31314087,1575,73.62156677
1574,92.33276367,1574,73.62880707
1573,92.31432343,1573,73.60447693
1572,92.30197906,1572,73.59692383
1571,92.32198334,1571,73.59102631
1570,92.31874084,1570,73.57785797
1569,92.31243134,1569,73.56945038
1568,92.30991364,1568,73.56520081
1567,92.30445862,1567,73.55674744
1566,92.30140686,1566,73.53233337
1565,92.31438446,1565,73.51892853
1564,92.30256653,1564,73.51405334
1563,92.301651,1563,73.51117706
1562,92.27955627,1562,73.49507904
1561,92.30951691,1561,73.49588776
1560,92.29784393,1560,73.47209167
1559,92.28646088,1559,73.46598816
1558,92.29615784,1558,73.459198
1557,92.27967834,1557,73.4304657
1556,92.26501465,1556,73.42480469
1555,92.2700882,1555,73.42261505
1554,92.27955627,1554,73.41571808
1553,92.28491211,1553,73.40058899
1552,92.28227997,1552,73.40590668
1551,92.28012085,1551,73.38108826
1550,92.27398682,1550,73.36626434
1549,92.27069092,1549,73.35903168
1548,92.2556839,1548,73.34285736
1547,92.22705078,1547,73.33413696
1546,92.2696991,1546,73.33895111
1545,92.25450897,1545,73.302948
1544,92.24277496,1544,73.3057251
1543,92.24948883,1543,73.3035965
1542,92.24597168,1542,73.28765869
1541,92.2379303,1541,73.26332855
1540,92.24501038,1540,73.2503891
1539,92.24539185,1539,73.2587738
1538,92.22956085,1538,73.24538422
1537,92.23730469,1537,73.21521759
1536,92.2194519,1536,73.22264862
1535,92.231987,1535,73.22015381
1534,92.22999573,1534,73.19503021
1533,92.23139954,1533,73.19694519
1532,92.22026825,1532,73.1802597
1531,92.20977783,1531,73.16143799
1530,92.19985962,1530,73.14683533
1529,92.20511627,1529,73.13420105
1528,92.19826508,1528,73.12767029
1527,92.20160675,1527,73.12366486
1526,92.22194672,1526,73.1210022
1525,92.18997955,1525,73.09173584
1524,92.19516754,1524,73.07489014
1523,92.19143677,1523,73.06454468
1522,92.18159485,1522,73.0641861
1521,92.16428375,1521,73.04544067
1520,92.17542267,1520,73.03173828
1519,92.18041229,1519,73.02915955
1518,92.17611694,1518,73.01002502
1517,92.16967773,1517,73.00801086
1516,92.1566391,1516,72.99081421
1515,92.15470123,1515,72.97245789
1514,92.16326141,1514,72.96430206
1513,92.14634705,1513,72.94873047
1512,92.14633942,1512,72.94020844
1511,92.14021301,1511,72.93331909
1510,92.14621735,1510,72.92195892
1509,92.14372253,1509,72.90653229
1508,92.13697052,1508,72.900177
1507,92.11933136,1507,72.88001251
1506,92.13420105,1506,72.88014221
1505,92.11075592,1505,72.85396576
1504,92.10933685,1504,72.84557343
1503,92.11740112,1503,72.83724213
1502,92.11545563,1502,72.82182312
1501,92.09296417,1501,72.80699921
1500,92.09637451,1500,72.80754852
1499,92.1051712,1499,72.79925537
1498,92.12332153,1498,72.7954483
1497,92.087677,1497,72.75114441
1496,92.0688324,1496,72.74286652
1495,92.08769989,1495,72.75061035
1494,92.07326508,1494,72.73296356
1493,92.05635834,1493,72.7159729
1492,92.05349731,1492,72.70865631
1491,92.06352234,1491,72.70223999
1490,92.0741272,1490,72.70103455
1489,92.03294373,1489,72.66145325
1488,92.05249786,1488,72.6593399
1487,92.04018402,1487,72.65751648
1486,92.05381012,1486,72.65184784
1485,92.03339386,1485,72.62625885
1484,92.02731323,1484,72.61235046
1483,92.02836609,1483,72.60199738
1482,92.01993561,1482,72.58850098
1481,92.00793457,1481,72.57061768
1480,92.01284027,1480,72.57128143
1479,92.00105286,1479,72.56623077
1478,92.00260162,1478,72.5410614
