Bi2Zr2O7,,CsTaTeO6,
Wavelength (nm),%R,Wavelength (nm),%R
391,15.70693207,391,13.52692699
390,15.55555344,390,13.47105503
389,15.42230511,389,13.51967716
388,15.2907629,388,13.45406342
387,15.13802719,387,13.46675014
386,14.97104359,386,13.487957
385,14.86671162,385,13.46148968
384,14.70512486,384,13.42087555
383,14.62763691,383,13.42450333
382,14.50160122,382,13.4378891
381,14.37337685,381,13.41082287
380,14.27641106,380,13.41506577
379,14.1460228,379,13.41614723
378,14.07167721,378,13.36552811
377,13.94636154,377,13.34117317
376,13.88953781,376,13.33027172
375,13.78815937,375,13.36858273
374,13.68255615,374,13.3577795
373,13.58548546,373,13.3300457
372,13.48075676,372,13.30540657
371,13.42066669,371,13.28542995
370,13.37191868,370,13.26675701
369,13.31314278,369,13.30033398
368,13.22500706,368,13.28613949
367,13.16770744,367,13.26708317
366,13.0793972,366,13.22964287
365,13.0355463,365,13.19758129
364,12.98440266,364,13.18937397
363,12.94929409,363,13.22447395
362,12.84030724,362,13.20154381
361,12.81878471,361,13.1868
360,12.75600529,360,13.17926216
359,12.67495632,359,13.11179066
358,12.73041248,358,13.05565262
357,12.67716599,357,13.14148426
356,12.62912941,356,13.11055565
355,12.55417919,355,13.02932358
354,12.5194521,354,13.05146694
353,12.51670074,353,13.0597887
352,12.49153614,352,13.00338173
351,12.446908,351,12.94932842
350,12.39373779,350,13.01028156
349,12.52408028,349,12.95848465
348,12.45329762,348,12.96745205
347,12.42516136,347,12.93618202
346,12.43473816,346,12.92318535
345,12.28401756,345,12.92339134
344,12.26528549,344,12.93827248
343,12.30754375,343,12.79159641
342,12.22961712,342,12.91259575
341,12.24022198,341,12.85863113
340,12.20292759,340,12.85130501
339,12.23966408,339,12.82143307
338,12.13305855,338,12.91771984
337,12.15841675,337,12.76533127
336,12.22096443,336,12.78809643
335,12.22505569,335,12.89447117
334,12.16253281,334,12.80614758
333,12.0978117,333,12.66055393
332,12.08512497,332,12.65009022
331,12.11631107,331,12.61469078
330,12.06847191,330,12.67156792
329,12.06791687,329,12.61240864
328,12.15819359,328,12.68230057
327,12.03231621,327,12.58812237
326,12.13903236,326,12.60908127
325,12.07977486,325,12.60926247
324,12.0159874,324,12.57498741
323,12.10049534,323,12.59384918
322,12.14542007,322,12.64133739
321,12.09480286,321,12.48278999
320,12.03561115,320,12.56630707
319,12.02319527,319,12.46140194
318,12.03664207,318,12.43371582
317,12.0681076,317,12.42903042
316,11.95016861,316,12.44116783
315,11.99275017,315,12.45569229
314,11.97287369,314,12.52851295
313,11.93290806,313,12.41614532
312,11.95790863,312,12.3536253
311,12.02582455,311,12.33346272
310,11.93633366,310,12.30166626
309,12.00598145,309,12.29989338
308,11.95764732,308,12.32396984
307,12.01318741,307,12.19837761
306,11.81784534,306,12.19369793
305,11.99082184,305,12.15900803
304,11.96473789,304,12.1631031
303,11.95113468,303,12.17195511
302,11.915658,302,12.07166576
301,11.85628414,301,12.14596939
300,11.98665905,300,12.12518311
299,11.86201668,299,12.12270451
298,11.93577576,298,12.10612106
297,11.83091259,297,12.00050831
296,11.91976166,296,12.03033447
295,11.98188972,295,12.0103178
294,11.88035488,294,11.90126228
293,11.86219692,293,11.93131924
292,11.9500742,292,12.02367306
291,11.91619205,291,11.92029381
290,11.93280029,290,11.88710213
289,11.95349312,289,11.902421
288,11.92314148,288,11.8409462
287,11.98484612,287,11.87646103
286,12.08919621,286,11.91559315
285,11.98990822,285,11.88178635
284,12.08662605,284,12.00637722
283,12.14668941,283,11.9825983
282,12.1794672,282,11.86905479
281,12.33457279,281,12.0152998
280,12.44048023,280,12.07374763
279,12.45094681,279,12.07198715
278,12.58152294,278,12.1858654
277,12.50458908,277,12.13196564
276,12.47915554,276,12.10693264
275,12.55083084,275,11.98696613
274,12.57559681,274,11.94073868
273,12.64970779,273,12.07121658
272,12.83052254,272,12.1079483
271,12.79424858,271,12.07753086
270,12.78456306,270,12.06639481
269,12.76290989,269,11.98872185
268,12.8674078,268,12.07408142
267,12.85540581,267,12.03534508
266,12.85847092,266,12.04882622
265,12.93194294,265,11.99939919
264,13.00246525,264,12.08896542
263,13.05939388,263,11.93868542
262,13.03469944,262,11.93157291
261,13.04788589,261,11.92778587
260,13.13067245,260,11.95812035
259,13.12854099,259,12.00388718
258,13.17057133,258,11.95325184
257,13.28042603,257,11.979599
256,13.20961094,256,11.89736652
255,13.21509171,255,11.86603069
254,13.37799549,254,11.95105934
253,13.3716774,253,11.7977829
252,13.37941742,252,11.84624767
251,13.46616173,251,11.83108521
250,13.49280167,250,11.85413933
249,13.55210876,249,11.93534088
248,13.61079693,248,11.91244793
247,13.66486073,247,11.86717129
246,13.76820183,246,11.85707569
245,13.85949135,245,12.00203419
244,13.91472626,244,12.00949192
243,14.02561378,243,12.07834339
242,14.12733364,242,12.12788773
241,14.27493572,241,12.19807529
240,14.48690605,240,12.21949291
239,14.5431366,239,12.41149616
238,14.859869,238,12.55701828
237,15.08685303,237,12.68068886
236,15.26698017,236,12.84759331
235,15.82612991,235,13.34345818
234,16.11830902,234,13.40850735
233,16.22262764,233,13.49254131
232,16.36544991,232,13.6418848
231,16.51352882,231,13.76442337
230,16.75084877,230,13.92690849
229,16.97767448,229,14.14012623
228,17.11903763,228,14.30988121
227,17.28391266,227,14.47414207
226,17.37008858,226,14.60219193
225,17.55876541,225,14.88618565
224,17.79366493,224,14.91548252
223,17.9519043,223,15.06922054
222,18.0975647,222,15.22686768
221,18.47824669,221,15.40964699
220,18.62183571,220,15.64834404
219,19.21603775,219,15.96886635
218,19.32837296,218,16.20567513
217,19.49798203,217,16.30444145
216,19.87586784,216,16.41318321
215,20.5259304,215,16.86057663
214,20.63059616,214,17.19268417
213,21.05615234,213,17.52310944
212,21.70059776,212,17.7134819
211,22.49378777,211,18.09220123
210,22.713974,210,18.48330116
209,23.13656425,209,18.78680038
208,23.75982475,208,18.98310661
207,24.4359951,207,19.56027794
206,24.69136238,206,19.77327538
205,25.02684593,205,20.48004723
204,24.79995918,204,20.48059273
203,25.89881516,203,21.03760719
202,27.16143036,202,21.66802216
201,26.72800446,201,21.89994812
200,26.93354797,200,21.97156334
