Bi2Zr2O7,Bi2Zr2O7,Bi2Zr2O7,CsTaTeO6,CsTaTeO6,CsTaTeO6
energy (eV),(F(R)-E)^1/2,Fit,energy (eV),(F(R)-E)^1/2,Fit
0.70495,0.04618,-4.63895,0.70495,0.17292,-0.88187
0.70535,0.04608,-4.63776,0.70535,0.17288,-0.88086
0.70575,0.04604,-4.63657,0.70575,0.17305,-0.87985
0.70615,0.04606,-4.63538,0.70615,0.17309,-0.87884
0.70655,0.04605,-4.63418,0.70655,0.17322,-0.87783
0.70696,0.04602,-4.63299,0.70696,0.1733,-0.87682
0.70736,0.04609,-4.63179,0.70736,0.17342,-0.87581
0.70776,0.04607,-4.6306,0.70776,0.17358,-0.8748
0.70817,0.04612,-4.6294,0.70817,0.17373,-0.87379
0.70857,0.04609,-4.6282,0.70857,0.17384,-0.87277
0.70898,0.04601,-4.627,0.70898,0.17386,-0.87175
0.70938,0.04613,-4.6258,0.70938,0.17411,-0.87074
0.70979,0.04618,-4.62459,0.70979,0.17435,-0.86972
0.71019,0.04621,-4.62339,0.71019,0.17438,-0.8687
0.7106,0.04606,-4.62218,0.7106,0.17455,-0.86768
0.71101,0.04593,-4.62097,0.71101,0.17478,-0.86666
0.71142,0.04591,-4.61976,0.71142,0.17475,-0.86563
0.71183,0.04589,-4.61855,0.71183,0.17479,-0.86461
0.71223,0.04603,-4.61734,0.71223,0.17496,-0.86358
0.71264,0.04603,-4.61613,0.71264,0.1751,-0.86256
0.71305,0.04585,-4.61491,0.71305,0.17507,-0.86153
0.71346,0.04584,-4.61369,0.71346,0.17489,-0.8605
0.71387,0.04577,-4.61248,0.71387,0.17484,-0.85947
0.71429,0.04572,-4.61126,0.71429,0.17495,-0.85844
0.7147,0.04563,-4.61004,0.7147,0.17485,-0.8574
0.71511,0.04571,-4.60881,0.71511,0.17506,-0.85637
0.71552,0.04574,-4.60759,0.71552,0.1752,-0.85534
0.71594,0.04571,-4.60637,0.71594,0.17513,-0.8543
0.71635,0.04565,-4.60514,0.71635,0.17519,-0.85326
0.71676,0.04583,-4.60391,0.71676,0.17527,-0.85222
0.71718,0.04596,-4.60268,0.71718,0.1755,-0.85118
0.71759,0.04575,-4.60145,0.71759,0.1755,-0.85014
0.71801,0.04574,-4.60022,0.71801,0.1754,-0.8491
0.71842,0.0458,-4.59899,0.71842,0.1755,-0.84806
0.71884,0.04587,-4.59775,0.71884,0.17574,-0.84701
0.71926,0.04573,-4.59652,0.71926,0.17574,-0.84597
0.71967,0.04577,-4.59528,0.71967,0.17594,-0.84492
0.72009,0.0459,-4.59404,0.72009,0.17598,-0.84387
0.72051,0.04588,-4.5928,0.72051,0.1759,-0.84282
0.72093,0.04579,-4.59156,0.72093,0.17603,-0.84177
0.72135,0.04597,-4.59031,0.72135,0.17617,-0.84072
0.72177,0.04586,-4.58907,0.72177,0.17616,-0.83966
0.72219,0.04576,-4.58782,0.72219,0.17624,-0.83861
0.72261,0.04588,-4.58657,0.72261,0.17626,-0.83755
0.72303,0.04602,-4.58532,0.72303,0.17639,-0.8365
0.72345,0.046,-4.58407,0.72345,0.17659,-0.83544
0.72388,0.04597,-4.58282,0.72388,0.1765,-0.83438
0.7243,0.04608,-4.58157,0.7243,0.17659,-0.83332
0.72472,0.0459,-4.58031,0.72472,0.17668,-0.83226
0.72515,0.04586,-4.57906,0.72515,0.17668,-0.83119
0.72557,0.04585,-4.5778,0.72557,0.17663,-0.83013
0.726,0.04602,-4.57654,0.726,0.17694,-0.82906
0.72642,0.04599,-4.57528,0.72642,0.17697,-0.828
0.72685,0.04584,-4.57402,0.72685,0.17681,-0.82693
0.72727,0.04614,-4.57275,0.72727,0.17707,-0.82586
0.7277,0.04594,-4.57149,0.7277,0.17708,-0.82479
0.72813,0.04584,-4.57022,0.72813,0.17706,-0.82372
0.72855,0.04598,-4.56895,0.72855,0.1772,-0.82264
0.72898,0.04603,-4.56768,0.72898,0.17725,-0.82157
0.72941,0.04588,-4.56641,0.72941,0.17737,-0.82049
0.72984,0.04596,-4.56514,0.72984,0.17759,-0.81942
0.73027,0.04602,-4.56386,0.73027,0.17744,-0.81834
0.7307,0.04582,-4.56259,0.7307,0.17743,-0.81726
0.73113,0.04592,-4.56131,0.73113,0.17761,-0.81618
0.73156,0.04587,-4.56003,0.73156,0.17762,-0.8151
