material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0
scn-19213,BaCu4O9,6.3603,0.208
scn-19214,Cs2Ge3F5,8.999,0.2473
scn-19215,TlPb2O5,28.1498,0.9087
scn-19216,SrPoF3,9.4149,0.5068
scn-19217,Y3Ti4CuO14,70.8709,1.9221
scn-19218,TiNb(FeO3)3,63.4521,4.8757
scn-19219,K2Ti3(TcO5)2,18.7354,1.2977
scn-19220,Ba6TiTl2,23.248,1.0172
scn-19221,Bi2SbO2,255.071,33.211
scn-19222,Tc4AgBi5O18,8.431,0.3794
scn-19223,SnAt2,24.7943,1.1014
scn-19224,Ti2CrPbO6,35.1848,3.2948
scn-19225,NbO7F3,8.8329,1.3653
scn-19226,Na2Nb3Bi3O14,88.3376,7.6198
scn-19227,FeBi2O5,49.0978,8.7584
scn-19228,FrKNbO5,13.9506,0.9176
scn-19229,Ba(NbAt3)2,17.3797,0.6082
scn-19230,Al2SeO4,43.5025,3.9548
scn-19231,MgTi2SeO6,42.7255,8.1771
scn-19232,Ba4Na2V11W2,6.5765,0.4255
scn-19233,Zr2Tl3O7,41.4388,2.9407
scn-19234,RbTaZn3,4.0899,0.2941
scn-19235,Fr2HfTiO6,21.1403,1.2364
scn-19236,C(IO)4,5.1243,0.3618
scn-19237,BaP2H2O7,8.0925,0.3498
scn-19238,Ba2NaScO6,18.5477,0.4549
scn-19239,NaNb2WO7,81.9016,9.3074
scn-19240,Li2CaNb2Fe7,12.7211,0.3648
scn-19241,MgTa2(PdO3)3,26.2284,1.5053
scn-19242,KZrV2O8,52.9688,3.667
scn-19243,Po3W,22.324,3.9443
scn-19244,Ti7Cl3O20,99.8086,23.4997
scn-19245,Rb2Ti(As4W)3,5.6156,0.2752
scn-19246,NaCuWO6,10.474,0.6798
scn-19247,Tl9Te6Ir,163.7358,64.2258
scn-19248,LiNbGe3,6.4165,0.2907
scn-19249,BiIrO4,6.181,0.2094
scn-19250,Cs6Ta2Cd,15.8936,0.7818
scn-19251,Ba2Ta2Ir7,10.3986,0.4175
scn-19252,V2Pd4O7,5.0674,1.0929
scn-19253,MgFeBiO5,15.3417,0.7449
scn-19254,K2NaRuOF5,4.5482,0.2136
scn-19255,Sr2TiZn4,13.3103,0.4752
scn-19256,Ba4Sr(PtO3)5,7.3859,0.2948
scn-19257,Ba3Mg2CdO9,25.5946,1.8931
scn-19258,Nb2S2O7,32.7164,11.1432
scn-19259,Li3FeCl4O,8.0625,0.2503
scn-19260,Ca2Ti3Cd8,11.0548,0.3272
scn-19261,Ba2TaPO6,33.8188,2.0239
scn-19262,Rb3Y7Zr,22.0511,0.7692
scn-19263,Ta3Zn2Bi3I14,6.8971,0.3807
scn-19264,CsCr3Sn,14.7436,0.6828
scn-19265,Ba3Nb2GeO9,68.4558,13.7682
scn-19266,Ta2Au2O7,63.1789,7.7081
scn-19267,Nb2Pb3ClO9,83.647,48.346
scn-19268,LiNb3(AsO3)4,34.795,1.6622
scn-19269,RbTi3NbIn9,4.5862,0.2109
scn-19270,As2Pb,5.9157,0.5568
scn-19271,Ca2ZrPt4,16.0065,0.9601
scn-19272,Mg2TaVO6,54.395,6.5384
scn-19273,Ta2Cu7Pb2,9.9717,1.6952
scn-19274,KSc18Nb4Bi5,7.6809,0.3408
scn-19275,Ta2Ge6BiF,8.7427,1.0052
scn-19276,Al3ZnF7,10.1191,0.365
scn-19277,Ti2Cu2O5,22.5379,2.3116
scn-19278,Na(TlCl3)2,22.2451,2.4061
scn-19279,Ba10Pb9O4,10.2063,0.3752
