material_id,formula,diel_elec_pred_n0,diel_elec_ale_n0
scn-238,LiMg4SnP,12.4303,0.3972
scn-239,KMgWO6,3.4608,0.0978
scn-240,Zr(Sc4Pb)2,37.333,0.971
scn-241,BiRh7O19,4.9124,0.3177
scn-242,KNaCa12(Ti2Bi)2,19.97,1.0362
scn-243,CsBiPt2O7,5.0954,0.0971
scn-244,Nb4VInO12,7.2775,0.1417
scn-245,BaSr9Ti4,35.7501,1.8692
scn-246,Al5VMo,19.1033,0.4229
scn-247,Na2CaMg15(Nb2Bi)2,20.473,0.9642
scn-248,Hf2InCl5,4.089,0.0889
scn-249,SrMg3Zr,30.9529,0.9583
scn-250,Cs2Ru3F5,4.0226,0.1183
scn-251,Sr2Li2Mg13Nb4,27.1726,1.223
scn-252,Ca5Mg15Ta4,29.7176,1.2321
scn-253,AgIr3O8,7.6531,0.2927
scn-254,Li2HfMg3,25.7357,0.7392
scn-255,SrFeF3,2.5712,0.0801
scn-256,Cd4MoPt3O16,5.4697,0.1314
scn-257,ZrNbO3,7.6854,0.3117
scn-258,Ca3TiNbO9,4.7089,0.0862
scn-259,CsTl2CuF6,3.286,0.0981
scn-260,CsMg2Sc,20.2283,1.3728
scn-261,Al8Bi2Pb,19.9748,0.8208
scn-262,AlPbF,7.4653,0.2379
scn-263,RbNa5TiNb,14.1863,0.5836
scn-264,Al2ZnF6,2.2603,0.0838
scn-265,LiMg3Ta,25.7614,0.764
scn-266,Ti(TlCd3)2,33.1204,1.3406
scn-267,RaV3O10,4.7187,0.3017
scn-268,Ca(BiO)2,8.3019,0.1681
scn-269,CsCa2CrO6,4.1865,0.1302
scn-270,LiCa2Mg10Ta3,26.4708,1.2484
scn-271,K4Nb(RhO4)3,4.9047,0.1344
scn-272,BaMg4W,28.4109,1.3981
scn-273,Mg5Bi3O14,5.1247,0.104
scn-274,Mg4SnW,20.4146,0.9459
scn-275,BaHfMg3,28.1444,0.8929
scn-276,Mg5TiBi2,15.4734,0.5302
scn-277,Sr3Mg12Ta4F2,13.0234,0.4579
scn-278,Ba(NbAl3)2,25.6236,0.7798
scn-279,CsNa6NbW,11.0778,0.6563
scn-280,Y3Mg7Ta,26.2668,0.7195
scn-281,KMg6ScTl2,18.7255,0.6449
scn-282,Ca7TlBi2,12.8296,0.4341
scn-283,CaMg7(TaH)2,14.991,0.9407
scn-284,Mg4Al2Ni,20.0813,0.5011
scn-285,TaCr2BiO6,5.7997,0.1227
scn-286,NaMg6Zr2Bi,19.9179,0.7068
scn-287,Ba4Na2Mg11W2,28.108,2.039
scn-288,Si(ClF3)2,2.18,0.0825
scn-289,Rb2MgNbF5,2.9225,0.0858
scn-290,TiTlTeO5,5.1593,0.1407
scn-291,Mg4NbSb,14.6377,0.8196
scn-292,Mg3W,25.1496,0.8847
scn-293,Sr6ZrTiPb2,39.7178,3.4453
scn-294,CaBiCN,8.2894,0.3589
scn-295,Na3TaO7,3.4814,0.1368
scn-296,FrRbO3,3.4978,0.1059
scn-297,Ti3Nb2Co(PbO3)6,6.4961,0.1611
scn-298,Na2PbWS4,5.0439,0.1287
scn-299,TlSeCl4,3.7325,0.112
scn-300,Sr5ZrHg4O15,5.0287,0.1181
scn-301,Na4NbBi,11.0514,0.3954
scn-302,Mg4TiGe,20.1783,0.6649
scn-303,Li4Mg4C,17.9023,0.6295
scn-304,BaMg3Ni,25.748,0.942
scn-305,HfMg6TiPb2,22.3257,0.9277
scn-306,SrTa2Bi2N9,7.2573,0.3346
scn-307,Zn2O3,5.3655,0.1895
scn-308,Fr4Ti3O12,5.3678,0.1472
scn-309,Li4Mg4C,20.3181,1.2612
scn-310,Ba3Ta2CrO9,4.9463,0.0973
scn-311,TiNbAl5H,15.765,0.6245
scn-312,Li2Mg5Ti2,26.0531,0.7796
scn-313,Mg3W,24.2369,1.4307
scn-314,ScClO2,3.9822,0.1022
scn-315,NaZn2BiO6,5.1221,0.1397
scn-316,Ti2NbBiO6,6.8998,0.1728
scn-317,MgSnCl,7.4953,0.1475
scn-318,Ti2GeBiO6,7.0789,0.1452
scn-319,NaSr3Nb,41.6299,2.6648
scn-320,Ba3CaMg9Ta2,32.253,1.8273
scn-321,NaCa2Mg10Ta3,26.7802,1.198
scn-322,Li2Nb2AsO7,5.0268,0.1071
scn-323,SrTa2Al7H2,14.4715,0.9954
scn-324,Zr(TlFe3)2,34.3075,1.514
scn-325,CaMg3Zr,30.6343,0.9607
scn-326,Mg4TlBi,14.2291,0.6863
scn-327,TaAl3H,16.3935,0.619
scn-328,NbBi3RuO9,7.1484,0.2475
scn-329,Ca2Bi4I5O18,5.1152,0.1172
scn-330,CaMg9(TaBi)2,18.4453,0.7427
scn-331,NaHfNb2O7,5.0333,0.0893
scn-332,V2WO4,7.2088,0.255
scn-333,CaMg2Nb2O7,4.9171,0.0983
scn-334,K7(TiBi)2,7.3875,0.2717
scn-335,BaNaMg3,24.341,0.4488
scn-336,Ba2HfMg4,26.0469,0.8605
scn-337,CaZrTa2O8,5.4824,0.1419
scn-338,Mg3W,26.6411,1.2208
scn-339,Mn7Sn3O20,8.6434,0.7033
scn-340,Mg3TaAg,22.6345,0.6888
scn-341,Sr2Mg7Nb2,42.2971,1.388
scn-342,Zr2Nb2(AtO4)3,5.745,0.1417
scn-343,TlCu2N,30.9022,2.5667
scn-344,NaTaAl3,18.7968,0.8736
scn-345,Nb2Al9Bi2Pb,26.6405,0.8706
scn-346,LiMg6TaW,26.1333,0.8413
scn-347,Mg6Ta2Pb,25.6394,1.3177
scn-348,NaMg6TaW,24.6353,0.6829
scn-349,Ca(Tl3Te2)3,15.6062,0.4638
scn-350,LiNbCr3,29.7937,2.2195
scn-351,KTaAs6W,9.2688,0.238
scn-352,Mg4NbBi,23.4314,1.0385
scn-353,Li2Ca4SnPb,18.7841,0.6839
scn-354,Mg6Ta2Cd,25.2528,0.8779
scn-355,Rb2Li3Sc5,18.2714,2.4908
scn-356,Ba2Mg7Ta2,23.9353,0.8984
scn-357,LiNbAl3,20.1496,0.8228
scn-358,Tl4As2O7,4.5222,0.0794
scn-359,Mg6TaBi,20.876,0.9939
scn-360,Mg19(Ta3Pb2)2,22.0406,0.8437
scn-361,RbMg5TaTi,27.8068,1.2362
scn-362,NaTiAs2OF5,3.7154,0.104
scn-363,Sr2Mg4Ti,26.3156,0.8074
scn-364,ScTcO,20.4917,1.0629
scn-365,Ba4Sr(ClO3)5,3.5182,0.101
scn-366,Ba3CdCu2O9,4.2743,0.1393
scn-367,Mg7(NbCd)2,33.7824,4.0451
scn-368,Li3Mg4FeO,10.1345,0.4307
scn-369,Ca2Mg8Ti3,31.7158,1.2192
scn-370,Rb2NaTiAl5O,7.9681,0.4749
scn-371,Ba8TaBi,44.8983,1.7979
scn-372,ZrMo3F7,3.7171,0.129
scn-373,MgPbCl,9.2448,0.207
scn-374,Mg15ZrTi4Pb5,24.3377,0.8668
scn-375,K2Mg5NbO,11.5956,0.4893
scn-376,Ba3Ta3Zn2O14,5.1063,0.1325
scn-377,Rb3MgTiF5,2.7554,0.0867
scn-378,KCa5TaTi,26.3011,1.9018
scn-379,CsHfBr3,4.2488,0.114
scn-380,Zr2Ti(Zn3Pb)3,35.2414,1.2396
scn-381,NaMg8Nb3,28.6167,0.8775
scn-382,Mg9Nb2ZnPb3,23.7693,0.9869
scn-383,SrMg9(TaBi)2,20.7096,0.774
scn-384,Na4Mg16Ti7,27.9316,0.6913
scn-385,Zr2Al7Bi2,21.8023,1.3534
scn-386,Y2Hf2Mg7,24.4724,1.9835
scn-387,Ta2Mn2Al7,37.5552,2.8614
scn-388,Mg10Nb2Pb3,23.496,0.9995
scn-389,BaTa2S2O9,4.2638,0.1286
scn-390,Ca5TiTlWF,14.7156,0.6177
scn-391,Ba4LiZn3O12,5.4451,0.19
scn-392,Hf2W2O7,5.4249,0.3014
scn-393,Ti3Ga2O9,5.3504,0.1137
scn-394,RbMg9Ti3Nb,37.6699,1.0422
scn-395,ClF2,2.4692,0.0986
scn-396,Li4Mg8Ti3,24.9225,0.6386
scn-397,HfSnSb4,23.7183,1.315
scn-398,Ba4Ta3ZnO12,4.8443,0.11
scn-399,Ba4Nb2As12W,15.7615,0.5044
scn-400,BaTi2Al5,21.0647,0.6804
scn-401,NaCa2O4,3.4227,0.0917
scn-402,Ba3Al9In2W,25.4631,0.8305
scn-403,TiAl3Pb,28.9515,1.47
scn-404,Sc3TlGe,25.0625,1.6064
scn-405,Ca7(TaPb)2,19.11,1.7946
scn-406,Na2MgVFe7,23.236,0.7965
scn-407,Ba3SrSn2O9,4.0506,0.1078
scn-408,Nb2Co2O7,7.3131,0.4139
scn-409,BaMg3Zr,28.315,1.3326
scn-410,Mg4TiNbTlF2,6.6254,0.1501
scn-411,KMg18Nb4Bi5,17.8931,0.8958
scn-412,Mg3Sn2I,10.3467,0.3207
scn-413,Hf2BiO6F,4.762,0.1064
scn-414,KYMg7Ta2,24.8351,0.7914
scn-415,NaSr3Nb,52.8728,4.456
scn-416,Na2Al8Zn,16.9681,0.6696
scn-417,Na2Sr5Ti2,54.4658,2.7812
scn-418,Sn(PCl3)2,3.7984,0.1158
scn-419,Cr10Pb9O4,20.9119,1.2997
scn-420,Cs2RbYAl6,12.9428,0.4904
scn-421,NaMg3Nb,30.1414,1.5038
scn-422,SrMg9(TaBi)2,19.6597,0.7831
scn-423,Cs2TiPOF5,2.7726,0.081
scn-424,Na2FeIF7,2.702,0.0888
scn-425,Mg4Sb,12.9651,0.5494
scn-426,Ca2Al7CoSi2,17.1096,0.4375
scn-427,KNb(IO3)3,3.9012,0.1376
scn-428,Cs5NaNb4O18,3.9616,0.0937
scn-429,Ca2Mg7AlH2O,9.4276,0.2241
scn-430,CuPbF4,3.9771,0.1476
scn-431,Mg6NbTlW,25.6494,1.0454
scn-432,Ca4ZrSn,21.471,0.9398
scn-433,Ta4Zn11Pb,24.0958,0.7998
scn-434,NiGe7OF7,5.947,0.1684
scn-435,Mg4TiSn,20.2317,0.7768
scn-436,K2RbScAl6,16.3427,0.6978
scn-437,Ta2Ru2O7,7.5116,0.3074
scn-438,Na8TlBr9O4,3.3676,0.0643
scn-439,K3ZrSe5O,4.3622,0.0769
scn-440,Na4I5O12,3.3354,0.0864
scn-441,NaMg18Ta4Bi5,17.8349,0.6495
scn-442,LiMg4Cl,7.5843,0.1909
scn-443,Hf(GaO2)2,5.4731,0.139
scn-444,Sr2CaMg6Mo,27.5646,0.799
scn-445,FePbF,11.6074,0.3179
scn-446,Cs2TaAsF5,3.2212,0.0861
scn-447,CsK2NaOF5,2.1352,0.0729
